expert_type	hire_type	role_type	partner_name	agent_status_adj	attr_status_adj	training_wave	university	grad_year	major	remote	expert_cnt	ps_handle_min	ps_handle_cnt	ps_aht	ps_tnps_num	ps_tnps_denom	ps_tnps	exec_ps_aht_num	exec_ps_aht_denom
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	University Of Arizona	Senior	Non-Business	NaN	1	646.7	53	12.201887	3	3	100	646.7	53
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 5	Marshall	Sophomore	Business	Virtual	1	5582.683336	282	19.796749	19	40	47.5	2857.15	157
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	University Of Texas - El Paso	Senior	Non-Business	Virtual	1	1535.849998	131	11.724046	-2	10	-20	1599.6	123
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Arizona State University	Sophomore	Business	Onsite	1	7098.983333	328	21.643242	19	36	52.7778	5538.516667	244
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	Northern Kentucky University	Incoming Freshman	Non-Business	Virtual	1	7771.816667	604	12.867246	-6	37	-16.2162	7010.916667	558
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	Northern Kentucky University	Sophomore	Business	Virtual	1	10854.6	409	26.539364	12	26	46.1538	7007.9	331
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 6	Marshall	Junior	Non-Business	Virtual	3	13826.51667	730	18.940434	32	65	49.2308	11932.5	663
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Senior	Business	NaN	2	1994.05	84	23.73869	5	13	38.4615	2127.366667	92
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 7	Marshall	Senior	Business	Virtual	1	5409.36667	183	29.559381	17	23	73.913	2574.833333	118
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 5	Marshall	Junior	Non-Business	Virtual	4	15671.13333	902	17.373762	44	76	57.8947	10065.25	612
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	USA | Arizona	NaN	Business	Onsite	3	3775.316668	225	16.779185	0	10	0	3810.133333	233
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	Arizona State University	Freshman	Business	Onsite	1	5836.183335	459	12.714996	12	49	24.4898	4323.566667	386
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 7	USA | Arizona	NaN	Business	Onsite	2	3457.933336	125	27.663467	6	10	60	1964.35	73
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	Northern Kentucky University	Senior	Business	Virtual	1	1491.566668	140	10.654048	0	6	0	1117.95	107
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University Of Arizona	Freshman	Business	Virtual	1	11420.3	511	22.348924	32	44	72.7273	6485.1	283
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Junior	Business	Onsite	1	6830.383333	540	12.648858	25	51	49.0196	3939.866667	275
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	University of Utah	Senior	Business	Onsite	1	564.266667	29	19.457471	0	2	0	564.966667	31
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	Salt Lake Community College	Incoming Freshman	Non-Business	NaN	1	2277.25	148	15.386824	1	13	7.6923	1950.316667	138
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Paradise Valley Community College	Junior	Business	Virtual	1	11961.2	841	14.222592	34	42	80.9524	8518.95	614
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	Brigham Young University	Sophomore	Non-Business	Onsite	1	4119.833332	217	18.985407	15	25	60	3098.8	174
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 6	Marshall	Junior	Non-Business	Virtual	1	1540.466667	59	26.109605	5	8	62.5	1636.316667	64
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	University of Cincinnati	Graduate	Non-Business	Virtual	1	1161.433334	68	17.079902	4	9	44.4444	882.433333	55
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University of Utah	Sophomore	Non-Business	Onsite	2	19453.55001	855	22.75269	50	85	58.8235	14714.2	874
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	El Paso Community College	NaN	Non-Business	Virtual	1	4076.533332	225	18.117926	-10	18	-55.5556	3827.366667	212
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	Remote Texas	NaN	Business	Virtual	1	36.2	2	18.1	null	null	null	36.2	2
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University Of Texas - El Paso	Freshman	Business	Onsite	3	28427.18333	1535	18.519338	107	174	61.4943	21598.18333	1429
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Graduate	Business	Virtual	1	9707.433335	458	21.195269	1	23	4.3478	5802.05	276
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	University of Utah	Junior	Business	Onsite	1	1831.400001	158	11.591139	1	3	33.3333	1312.733333	124
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 6	Marshall	Freshman	Non-Business	Virtual	2	859.133334	42	20.455556	0	2	0	859.133334	42
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	University of Utah	Sophomore	Non-Business	Onsite	1	2475.450001	138	17.938043	12	15	80	2114.5	121
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	University Of Texas - El Paso	Junior	Non-Business	NaN	2	137.733334	12	11.477778	null	null	null	138.166667	13
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 7	Marshall	Senior	Business	Virtual	1	421.533334	26	16.212821	1	2	50	465.75	34
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	Northern Kentucky University	Sophomore	Business	NaN	1	648.733334	46	14.102899	-1	1	-100	648.733333	46
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	University Of Texas - El Paso	Sophomore	Non-Business	Onsite	2	5075.966667	244	20.803142	1	19	5.2632	5044.95	240
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Freshman	Business	NaN	1	19.1	3	6.366667	-1	1	-100	19.1	3
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Freshman	Non-Business	NaN	1	1247.716667	70	17.824524	0	6	0	1361.616667	73
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	Northern Kentucky University	Junior	Non-Business	Virtual	1	7336.733335	399	18.387803	21	38	55.2632	7745.616667	447
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Texas - El Paso	Junior	Non-Business	Virtual	2	15037.81667	897	16.764567	30	50	60	11091.43333	824
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University Of Texas - El Paso	Sophomore	Non-Business	Onsite	1	9599.283331	538	17.842534	5	33	15.1515	8112.216667	444
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	Arizona State University	Junior	Business	Onsite	1	91.566667	3	30.522222	null	null	null	91.566667	3
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	University Of Texas - El Paso	Freshman	Non-Business	NaN	1	323.466667	18	17.97037	null	null	null	323.466667	18
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	Grand Canyon University	Freshman	Business	Onsite	1	31.616667	3	10.538889	-1	1	-100	31.616667	3
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	El Paso Community College	Senior	Non-Business	Virtual	1	1010.616668	168	6.015575	-1	3	-33.3333	981.016667	167
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Senior	Non-Business	Virtual	2	5495.850003	299	18.380769	10	20	50	4096.783333	248
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	University Of Texas - El Paso	Junior	Non-Business	Virtual	1	4616.333332	406	11.370279	10	20	50	3604.6	308
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 5	Marshall	Freshman	Business	Virtual	2	1605.683334	168	9.557639	2	9	22.2222	993.2	116
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University of Cincinnati	Junior	Business	Virtual	1	3747.949999	155	24.180323	6	10	60	2958.866667	130
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	University Of Texas - El Paso	Junior	Business	Virtual	1	1882.300001	261	7.211877	-5	13	-38.4615	1911.266667	266
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University Of Texas - El Paso	Junior	Business	Onsite	1	6710.433333	452	14.846091	13	28	46.4286	5649.733333	404
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University Of Arizona	Freshman	Non-Business	Onsite	1	3915.533331	303	12.922552	-3	15	-20	2628.383333	223
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	Utah Valley University	Sophomore	Non-Business	Onsite	1	704.816668	34	20.729902	0	4	0	564	30
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	Arizona State University	Sophomore	Business	NaN	1	2564.433334	155	16.544731	5	17	29.4118	1746.283333	114
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 7	University of Utah	Graduated	Business	Onsite	1	5457.55	322	16.948913	8	17	47.0588	2857.1	171
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	Salt Lake Community College	Freshman	Business	Onsite	1	9437.949996	458	20.606878	41	57	71.9298	7088.916667	489
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Texas - El Paso	Graduate	Non-Business	Virtual	3	14488.08333	724	20.011165	36	73	49.3151	11657.71667	655
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 5	Marshall	Sophomore	Non-Business	Virtual	2	1626.383334	90	18.070926	6	6	100	1634.266667	93
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Freshman	Business	Onsite	2	96.266667	5	19.253333	-1	1	-100	96.266667	5
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 5	Marshall	Junior	Business	Virtual	2	11556.78333	550	21.012333	23	52	44.2308	9994.7	559
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	Northern Kentucky University	Senior	Non-Business	Virtual	2	16101.3	977	16.480348	12	82	14.6341	10953.21667	733
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 6	Texas Southern University	Sophomore	Business	Virtual	1	525.25	32	16.414063	0	2	0	398.233333	26
