product_name,expert_partner_name,expert_role,proficiency_level,contact_type,hire_type,expert_tenure_category,reporting_period,tnps_numerator,tnps_denominator,ir_numerator,ir_denominator,sqs_numerator,sqs_denominator,handled_conversion_numerator,handled_conversion_denominator,aht_numerator,aht_denominator,cst_numerator,cst_denominator
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,90-120 days,26-Apr,1,1,1,1,26.06,31.64,0,0,1172.450001,52,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Chat,New Hire,60-90 days,26-Mar,1,5,2,5,0,0,0,0,2845.966664,131,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,30-60 days,26-Feb,3,10,7,9,153.65,181.23,0,0,4835.383335,327,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Chat,New Hire,30-60 days,26-Feb,3,6,5,6,0,0,0,0,2286.316667,103,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Chat,New Hire,< 30 days,26-Feb,0,2,1,2,0,0,0,0,1887.133333,57,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Chat,New Hire,60-90 days,26-Apr,2,4,3,4,0,0,0,0,3742.466665,144,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,< 30 days,Before Season,0,0,0,0,2.86,3.22,0,0,54.25,7,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Chat,New Hire,90-120 days,26-Apr,0,0,0,0,0,0,0,0,324.75,16,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,< 30 days,26-Feb,10,16,11,15,158.43,192.7,0,0,8636.233338,306,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Chat,New Hire,< 30 days,26-Jan,0,0,0,0,0,0,0,0,265.649998,34,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Chat,New Hire,< 30 days,26-Mar,0,0,0,0,0,0,0,0,648.766667,26,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,< 30 days,26-Apr,0,0,0,0,5.54,6.58,0,0,167.583334,11,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Chat,New Hire,< 30 days,Before Season,1,1,1,1,0,0,0,0,259.633334,8,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Chat,New Hire,30-60 days,26-Mar,4,17,8,15,0,0,0,0,6883.33333,277,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,< 30 days,26-Jan,0,0,0,0,26.87,31.73,0,0,822.849998,53,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,60-90 days,26-Apr,18,23,14,16,255.6,329.65,0,0,13384.83334,536,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,60-90 days,26-Mar,16,21,20,21,152.54,184.63,0,0,6192.200006,296,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Chat,New Hire,30-60 days,26-Apr,3,3,3,3,0,0,0,0,2820.616673,119,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,30-60 days,26-Apr,4,6,6,6,97.63,122.33,0,0,3947.333331,198,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Chat,New Hire,< 30 days,26-Apr,0,0,0,0,0,0,0,0,3.216667,1,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,< 30 days,26-Mar,5,9,7,9,65.77,81.83,0,0,2944.55,128,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,60-90 days,After Season,0,0,0,0,8.12,10.69,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,30-60 days,After Season,0,0,0,0,1.34,1.52,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,90-120 days,After Season,0,0,0,0,0.57,0.67,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL3,Chat,New Hire,60-90 days,26-Apr,3,5,4,5,0,0,0,0,1329.683334,52,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL3,Chat,New Hire,60-90 days,26-Mar,0,0,0,0,0,0,0,0,194.783334,9,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL3,Chat,New Hire,90-120 days,26-Apr,0,0,0,0,0,0,0,0,62.683334,5,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL3,Phone,New Hire,< 30 days,26-Apr,2,2,2,2,4.98,6.14,0,0,283.050001,9,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL3,Phone,New Hire,30-60 days,26-Apr,1,2,2,2,50.21,62.47,0,0,1662.566667,93,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL3,Chat,New Hire,30-60 days,26-Mar,0,2,1,2,0,0,0,0,1072.866669,49,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL3,Phone,New Hire,60-90 days,26-Mar,1,1,1,1,23.39,30.26,0,0,1367.683329,61,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL3,Phone,New Hire,< 30 days,26-Feb,2,4,3,4,70.78,90.51,0,0,6710.583338,143,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL3,Chat,New Hire,30-60 days,26-Apr,-1,3,1,3,0,0,0,0,1134.833331,44,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL3,Phone,New Hire,90-120 days,26-Apr,0,0,0,0,12.57,14.95,0,0,360.116665,23,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL3,Phone,New Hire,< 30 days,26-Jan,0,0,0,0,2.57,3.79,0,0,25.016667,5,0,0
